,STRUCTURE_NAME,a,b,c,UnitCell
12100,XOCQUD_clean,11.2148,17.3605,26.9709,2 1 1
12101,XOCWET_clean,11.001,11.562999999999999,13.432,2 2 1
12102,XOCWIX_clean,10.5626,11.4559,13.4839,2 2 1
12103,XOCWOD_clean,10.5136,11.465,13.4175,2 2 1
12104,XOCWUJ_clean,10.5105,11.439,13.4443,2 2 1
12105,XODNUB_clean,12.7745,14.18,14.5221,1 1 1
12106,XODPUD_clean,30.241999999999997,30.241999999999997,13.405999999999999,1 1 1
12107,XODXIZ_clean,6.6537,8.0998,20.179000000000002,2 2 1
12108,XOFFUT_clean,19.2907,19.2907,19.2907,1 1 1
12109,XOFGAC_clean,32.8939,32.8939,32.8939,1 1 1
12110,XOFGEG_clean,37.9569,37.9569,37.9569,1 1 1
12111,XOFPEP01_clean,10.663,11.09,14.718,2 2 1
12112,XOFPEP_clean,10.6646,11.0897,14.724,2 2 1
12113,XOFTIW_clean,7.1054,18.2419,24.9477,2 1 1
12114,XOFTOC_clean,7.0807,18.1874,24.8237,2 1 1
12115,XOGXAU_clean,13.968,14.610999999999999,20.566,1 1 1
12116,XOGXEY_clean,12.072000000000001,14.124,14.338,1 1 1
12117,XOHFIK_clean,10.172,11.719000000000001,14.92,2 2 1
12118,XOHJUA_clean,9.155,9.5454,21.5679,2 2 1
12119,XOHLEM01_clean,10.5787,10.5787,15.828,2 2 1
12120,XOHLEM_clean,10.5787,10.5787,15.828,2 2 1
12121,XOHTUJ_clean,18.837,15.020999999999999,14.95,1 1 1
12122,XOJCUV_clean,11.085999999999999,17.977999999999998,17.977999999999998,2 1 1
12123,XOJPES_clean,14.877,8.5545,7.4081,1 2 2
12124,XOJPIW_charged,22.6827,22.6827,34.369,1 1 1
12125,XOJWEZ_clean,7.181,11.3511,11.3511,2 2 2
12126,XOJWID_charged,10.075,13.050999999999998,13.24,2 1 1
12127,XOJWOJ_clean,9.869,17.101,17.32,2 1 1
12128,XOJXAW_charged,9.693999999999999,10.117,19.488,2 2 1
12129,XOKHAH_clean,13.657,18.777,19.983,1 1 1
12130,XOKHIP_clean,12.2069,14.4811,28.55,1 1 1
12131,XOLGEM_clean,17.6972,17.6972,76.39699999999999,1 1 1
12132,XOLYUS_clean,6.3029,16.413,17.139,2 1 1
12133,XOMCIL_clean,4.7308,7.7734,8.4118,3 2 2
12134,XOMCIN_clean,10.9495,22.0856,28.3314,2 1 1
12135,XOMCOT_clean,20.365,20.119,17.311,1 1 1
12136,XOMCUZ_clean,14.9438,14.9438,10.129,1 1 2
12137,XOMDOU_clean,15.825,15.825,43.703,1 1 1
12138,XOMGIQ_clean,21.5012,11.7251,25.7606,1 2 1
12139,XOMHEO_clean,29.372,15.784,19.14,1 1 1
12140,XOMHIS_clean,33.493,53.707,22.035999999999998,1 1 1
12141,XOMJOY_clean,12.815999999999999,18.3929,24.816,1 1 1
12142,XOMJUE_clean,12.776,18.3001,24.724,1 1 1
12143,XOMNEU_clean,14.0828,23.9967,37.1516,1 1 1
12144,XOMZAC_clean,10.134,10.835999999999999,13.741,2 2 1
12145,XONGUD_clean,16.158,22.4561,26.4807,1 1 1
12146,XONLES01_clean,24.5021,24.5021,71.8088,1 1 1
12147,XONLES_clean,24.5377,24.5377,72.0873,1 1 1
12148,XOPJAO_clean,12.999,6.7152,16.547,1 2 1
12149,XOPKIX_clean,13.6376,13.6376,6.2054,1 1 2
12150,XOPKOD_clean,13.834000000000001,13.834000000000001,6.162000000000001,1 1 2
12151,XOPLOE_clean,16.0853,17.4169,19.3667,1 1 1
12152,XOPLUL_clean,9.4327,10.1954,11.2452,2 2 2
12153,XOPMIA_clean,9.072000000000001,13.14,30.7,2 1 1
12154,XOPVII_clean,8.793,10.091000000000001,15.404000000000002,2 2 1
12155,XOPVOO_clean,9.6103,9.6103,6.9723,2 2 2
12156,XOQXEH_clean,7.528,17.852999999999998,23.756999999999998,2 1 1
12157,XOQXIL_clean,9.6788,17.4058,31.4114,2 1 1
12158,XOQXOR_clean,12.0891,14.8288,28.0555,1 1 1
12159,XOQXOR_SL,27.0818,12.0891,36.3156,1 1 1
12160,XORHET_clean,17.503,18.340999999999998,18.340999999999998,1 1 1
12161,XOSPEB_clean,13.7883,13.7883,9.345,1 1 2
12162,XOSPOK_clean,9.984,12.354000000000001,12.834000000000001,2 1 1
12163,XOSPUQ02_clean,20.723000000000003,5.2095,17.8741,1 3 1
12164,XOSPUQ_clean,20.794,5.2272,17.9628,1 3 1
12165,XOSQOL_clean,12.6528,5.1909,21.1457,1 3 1
12166,XOSQUR_ion_b,15.284,17.726,5.1882,1 1 3
12167,XOTGUI_clean,9.0279,18.1362,8.5631,2 1 2
12168,XOTHAP_clean,8.6222,9.5683,9.5712,2 2 2
12169,XOTKIA_charged,10.4867,23.026,24.55,2 1 1
12170,XOTSEG_clean,13.8783,20.3674,21.0344,1 1 1
12171,XOTSIK_clean,13.969000000000001,42.43899999999999,33.47,1 1 1
12172,XOTXAG_clean,6.4467,16.6485,21.6974,2 1 1
12173,XOTXUB_clean,5.501,22.296999999999997,20.799,3 1 1
12174,XOTZIR_clean,8.811,10.950999999999999,21.944000000000003,2 2 1
12175,XOVPIH_clean,9.2275,9.770999,10.699000000000002,2 2 2
12176,XOVPON_clean,8.6842,9.942001,11.732999999999999,2 2 2
12177,XOVPUU_clean,15.9568,29.329,28.656999999999996,1 1 1
12178,XOVQAB_clean,41.5112,41.4556,31.1677,1 1 1
12179,XOVQEF_clean,28.833000000000002,30.561,41.687,1 1 1
